4.066144037991810123e+00 4.643038037002048313e+00 2.105328556484803215e+00
2.997121134855158076e+00 4.626795999073186394e+00 2.113007382165875914e+00
2.373189951151311483e+00 4.610571908867244773e+00 2.120695901003571748e+00
1.964273724477366478e+00 4.594365965180924327e+00 2.128394024055728195e+00
1.675563208636442702e+00 4.578178368814209698e+00 2.136101661253333450e+00
1.460846809251434175e+00 4.562009317355814275e+00 2.143818722901008833e+00
1.294909595126300772e+00 4.545859011020861651e+00 2.151545118288769487e+00
1.162824657138311624e+00 4.529727647535937152e+00 2.159280756623116915e+00
1.055191724581194812e+00 4.513615427260034174e+00 2.167025546766456756e+00
9.657960860587210261e-01 4.497522546394634446e+00 2.174779397120649715e+00
8.903645798870021277e-01 4.481449203685198945e+00 2.182542215772185212e+00
8.258623184702528208e-01 4.465395596289128299e+00 2.190313910455834456e+00
7.700744538796803207e-01 4.449361923884108450e+00 2.198094388588561987e+00
7.213467321584895453e-01 4.433348377262193551e+00 2.205883557258643268e+00
6.784186837592347530e-01 4.417355156548762096e+00 2.213681323227544073e+00
6.403130337157477703e-01 4.401382457561595629e+00 2.221487592964247249e+00
6.062603980117541314e-01 4.385430475751549650e+00 2.229302272640819815e+00
5.756467954311299540e-01 4.369499406157831167e+00 2.237125268142339696e+00
5.479762975939961311e-01 4.353589443377157586e+00 2.244956485076769592e+00
5.228439570982060802e-01 4.337700781539305162e+00 2.252795828784698973e+00
4.999158587069489901e-01 4.321833614285853997e+00 2.260643204348928847e+00
4.789141988864981658e-01 4.305988134750703189e+00 2.268498516604049886e+00
4.596059746081740394e-01 4.290164535541588720e+00 2.276361670145992999e+00
4.417943022937165232e-01 4.274363008722103174e+00 2.284232569341561270e+00
4.253116800187713986e-01 4.258583745794156883e+00 2.292111118337988085e+00
4.100147037283851104e-01 4.242826937680628241e+00 2.299997221072482390e+00
3.957798841030745751e-01 4.227092774708220979e+00 2.307890781281793924e+00
3.825003055646850614e-01 4.211381446590431565e+00 2.315791702511768246e+00
3.700829360490430209e-01 4.195693142410642729e+00 2.323699888126912416e+00
