# sigma, u, d0, d1
1.027969138405945948e+00 9.526307183827101843e-01 -7.806623082497895494e-01 -3.992023167186423832e-02
1.031381572358401888e+00 9.565943775642045122e-01 -7.786356642042152609e-01 -3.981659646498827976e-02
1.034817880428976267e+00 9.605866757694999647e-01 -7.766050873736944915e-01 -3.971276014979119307e-02
1.038278308199472422e+00 9.646079082437196694e-01 -7.745705724522198299e-01 -3.960872245494305444e-02
1.041763104596342249e+00 9.686583742444732081e-01 -7.725321141702928829e-01 -3.950448311098087723e-02
1.045272521947744782e+00 9.727383771102453558e-01 -7.704897072953379444e-01 -3.940004185032977557e-02
1.048806816041790935e+00 9.768482243301930268e-01 -7.684433466321434203e-01 -3.929539840732551581e-02
1.052366246185981291e+00 9.809882276153799596e-01 -7.663930270232910402e-01 -3.919055251823647112e-02
1.055951075267882233e+00 9.851587029714908850e-01 -7.643387433495903993e-01 -3.908550392128587458e-02
1.059561569817057958e+00 9.893599707730549309e-01 -7.622804905305136103e-01 -3.898025235667398891e-02
1.063198000068302784e+00 9.935923558392162347e-01 -7.602182635246397258e-01 -3.887479756660089381e-02
1.066860640026176865e+00 9.978561875110941726e-01 -7.581520573300644106e-01 -3.876913929528738589e-02
1.070549767530928120e+00 1.002151799730766069e+00 -7.560818669848716755e-01 -3.866327728899912608e-02
1.074265664325775305e+00 1.006479531121914350e+00 -7.540076875675467694e-01 -3.855721129606772685e-02
1.078008616125632813e+00 1.010839725072181672e+00 -7.519295141974237096e-01 -3.845094106691371305e-02
1.081778912687282546e+00 1.015232729817274748e+00 -7.498473420351217111e-01 -3.834446635406871945e-02
1.085576847881051243e+00 1.019658898526857760e+00 -7.477611662829898309e-01 -3.823778691219834047e-02
1.089402719764018368e+00 1.024118589392284617e+00 -7.456709821855520559e-01 -3.813090249812482041e-02
1.093256830654776524e+00 1.028612165716214166e+00 -7.435767850299209725e-01 -3.802381287084823092e-02
1.097139487209834341e+00 1.033139996004152517e+00 -7.414785701462685008e-01 -3.791651779157054203e-02
1.101051000501650057e+00 1.037702454057978452e+00 -7.393763329082668756e-01 -3.780901702371818746e-02
1.104991686098354853e+00 1.042299919071493886e+00 -7.372700687335097536e-01 -3.770131033296356127e-02
1.108961864145222131e+00 1.046932775728057763e+00 -7.351597730839665168e-01 -3.759339748724829094e-02
1.112961859447918034e+00 1.051601414300350923e+00 -7.330454414664355767e-01 -3.748527825680636472e-02
1.116992001557566283e+00 1.056306230752331210e+00 -7.309270694329664808e-01 -3.737695241418578784e-02
1.121052624857696856e+00 1.061047626843432568e+00 -7.288046525813213217e-01 -3.726841973427210547e-02
1.125144068653107121e+00 1.065826010235064736e+00 -7.266781865554042819e-01 -3.715967999431044749e-02
1.129266677260706730e+00 1.070641794599477503e+00 -7.245476670457214885e-01 -3.705073297392894038e-02
1.133420800102360015e+00 1.075495399731046797e+00 -7.224130897898042303e-01 -3.694157845516044675e-02
1.137606791799836259e+00 1.080387251660047010e+00 -7.202744505726761393e-01 -3.683221622246639348e-02
1.141825012271853179e+00 1.085317782768975947e+00 -7.181317452272721891e-01 -3.672264606275823379e-02
1.146075826833334421e+00 1.090287431911497018e+00 -7.159849696348982162e-01 -3.661286776542092836e-02
1.150359606296896153e+00 1.095296644534070829e+00 -7.138341197256754533e-01 -3.650288112233567722e-02
1.154676727076633158e+00 1.100345872800344793e+00 -7.116791914789742934e-01 -3.639268592790208950e-02
1.159027571294274805e+00 1.105435575718374919e+00 -7.095201809238627089e-01 -3.628228197906115809e-02
1.163412526887758203e+00 1.110566219270754607e+00 -7.073570841395423470e-01 -3.617166907531750575e-02
1.167831987722310672e+00 1.115738276547730834e+00 -7.051898972558080514e-01 -3.606084701876290793e-02
1.172286353704063977e+00 1.120952227883385888e+00 -7.030186164534703019e-01 -3.594981561409790749e-02
1.176776030896315994e+00 1.126208560994964802e+00 -7.008432379648049659e-01 -3.583857466865479624e-02
1.181301431638479338e+00 1.131507771125441764e+00 -6.986637580739942788e-01 -3.572712399242015946e-02
1.185862974667809988e+00 1.136850361189403857e+00 -6.964801731175670474e-01 -3.561546339805739952e-02
1.190461085243974315e+00 1.142236841922350310e+00 -6.942924794848380765e-01 -3.550359270092921793e-02
1.195096195276548423e+00 1.147667732033496035e+00 -6.921006736183483721e-01 -3.539151171912008342e-02
1.199768743455513764e+00 1.153143558362178078e+00 -6.899047520142969070e-01 -3.527922027345836709e-02
1.204479175384857159e+00 1.158664856037966429e+00 -6.877047112229910386e-01 -3.516671818753931700e-02
1.209227943719322962e+00 1.164232168644574683e+00 -6.855005478492643967e-01 -3.505400528774646474e-02
1.214015508304455704e+00 1.169846048387688242e+00 -6.832922585529390691e-01 -3.494108140327529394e-02
1.218842336319959196e+00 1.175507056266804629e+00 -6.810798400492249494e-01 -3.482794636615354350e-02
1.223708902426546841e+00 1.181215762251212498e+00 -6.788632891091865851e-01 -3.471460001126521616e-02
1.228615688916307347e+00 1.186972745460220358e+00 -6.766426025601618433e-01 -3.460104217637190865e-02
1.233563185866716649e+00 1.192778594347748689e+00 -6.744177772861877918e-01 -3.448727270213459983e-02
1.238551891298411700e+00 1.198633906891422241e+00 -6.721888102284354627e-01 -3.437329143213590371e-02
1.243582311336819179e+00 1.204539290786280414e+00 -6.699556983856441716e-01 -3.425909821290226004e-02
1.248654960377739043e+00 1.210495363643244504e+00 -6.677184388145478433e-01 -3.414469289392574325e-02
1.253770361257013244e+00 1.216502753192472142e+00 -6.654770286302860161e-01 -3.403007532768507343e-02
1.258929045424396209e+00 1.222562097491748379e+00 -6.632314650068464879e-01 -3.391524536966828568e-02
1.264131553121750962e+00 1.228674045140051518e+00 -6.609817451774872010e-01 -3.380020287839423376e-02
1.269378433565663933e+00 1.234839255496448240e+00 -6.587278664351394752e-01 -3.368494771543326105e-02
1.274670245134675195e+00 1.241058398904475224e+00 -6.564698261328524298e-01 -3.356947974542994623e-02
1.280007555561183841e+00 1.247332156922164925e+00 -6.542076216841941072e-01 -3.345379883612355915e-02
1.285390942128216141e+00 1.253661222557882704e+00 -6.519412505636694721e-01 -3.333790485836946732e-02
1.290820991871195478e+00 1.260046300512150497e+00 -6.496707103071458489e-01 -3.322179768616086853e-02
1.296298301784827300e+00 1.266488107425629561e+00 -6.473959985122450522e-01 -3.310547719664888588e-02
1.301823479035309594e+00 1.272987372133453254e+00 -6.451171128387783726e-01 -3.298894327016479999e-02
1.307397141177972122e+00 1.279544835926091473e+00 -6.428340510091379301e-01 -3.287219579024000526e-02
1.313019916380536056e+00 1.286161252816952150e+00 -6.405468108086997958e-01 -3.275523464362669473e-02
1.318692443652182522e+00 1.292837389816920313e+00 -6.382553900862502072e-01 -3.263805972031960656e-02
1.324415373078546398e+00 1.299574027216039207e+00 -6.359597867543608229e-01 -3.252067091357526557e-02
1.330189366062888512e+00 1.306371958872562855e+00 -6.336599987898029473e-01 -3.240306811993310526e-02
1.336015095573586109e+00 1.313231992509597879e+00 -6.313560242339426587e-01 -3.228525123923570161e-02
1.341893246398150552e+00 1.320154950019570839e+00 -6.290478611931313857e-01 -3.216722017464876404e-02
1.347824515403977852e+00 1.327141667776763123e+00 -6.267355078391055878e-01 -3.204897483268152880e-02
1.353809611806034097e+00 1.334192996958160071e+00 -6.244189624093656743e-01 -3.193051512320620178e-02
1.359849257441704706e+00 1.341309803872881012e+00 -6.220982232075690233e-01 -3.181184095947795637e-02
1.365944187053012016e+00 1.348492970300454896e+00 -6.197732886039168942e-01 -3.169295225815484118e-02
1.372095148576450541e+00 1.355743393838215516e+00 -6.174441570355250208e-01 -3.157384893931661912e-02
1.378302903440672633e+00 1.363061988258114088e+00 -6.151108270068150752e-01 -3.145453092648486243e-02
1.384568226872272989e+00 1.370449683873238955e+00 -6.127732970898748244e-01 -3.133499814664131994e-02
1.390891908209944683e+00 1.377907427914361715e+00 -6.104315659248507053e-01 -3.121525053024805027e-02
1.397274751227234324e+00 1.385436184916817304e+00 -6.080856322202891073e-01 -3.109528801126477601e-02
1.403717574464246498e+00 1.393036937118068863e+00 -6.057354947535327216e-01 -3.097511052716928406e-02
1.410221211568499111e+00 1.400710684866286249e+00 -6.033811523710657099e-01 -3.085471801897494981e-02
1.416786511645286906e+00 1.408458447040301875e+00 -6.010226039888679761e-01 -3.073411043124893091e-02
1.423414339617858237e+00 1.416281261481324272e+00 -5.986598485927868696e-01 -3.061328771213114169e-02
1.430105576597700434e+00 1.424180185436779267e+00 -5.962928852388821310e-01 -3.049224981335192652e-02
1.436861120265287450e+00 1.432156296016689367e+00 -5.939217130537789435e-01 -3.037099669025005583e-02
1.443681885261620002e+00 1.440210690662998783e+00 -5.915463312349980018e-01 -3.024952830178966739e-02
1.450568803590953193e+00 1.448344487632288846e+00 -5.891667390513229963e-01 -3.012784461057901528e-02
1.457522825035028280e+00 1.456558826492312386e+00 -5.867829358431201348e-01 -3.000594558288682476e-02
1.464544917579249539e+00 1.464854868632820217e+00 -5.843949210226753177e-01 -2.988383118865953550e-02
1.471636067851177954e+00 1.473233797791168698e+00 -5.820026940745305355e-01 -2.976150140153849266e-02
1.478797281571768929e+00 1.481696820593199959e+00 -5.796062545558096080e-01 -2.963895619887662800e-02
1.486029584019777028e+00 1.490245167109911728e+00 -5.772056020965310452e-01 -2.951619556175442624e-02
1.493334020509813564e+00 1.498880091430473627e+00 -5.748007363999423358e-01 -2.939321947499705032e-02
1.500711656884468503e+00 1.507602872252137516e+00 -5.723916572428218164e-01 -2.927002792718974566e-02
1.508163580021052219e+00 1.516414813487629409e+00 -5.699783644757989709e-01 -2.914662091069426461e-02
1.515690898353383664e+00 1.525317244890629809e+00 -5.675608580236428669e-01 -2.902299842166355254e-02
1.523294742409251779e+00 1.534311522699990604e+00 -5.651391378855917802e-01 -2.889916046005866837e-02
1.530976265363989564e+00 1.543399030303308050e+00 -5.627132041356232017e-01 -2.877510702966255135e-02
1.538736643610821409e+00 1.552581178920579896e+00 -5.602830569227654767e-01 -2.865083813809596314e-02
1.546577077348519902e+00 1.561859408308622132e+00 -5.578486964713723628e-01 -2.852635379683154254e-02
1.554498791187025164e+00 1.571235187487009188e+00 -5.554101230814200152e-01 -2.840165402120897742e-02
1.562503034771635102e+00 1.580710015486292086e+00 -5.529673371287757710e-01 -2.827673883044876102e-02
1.570591083426468693e+00 1.590285422119306791e+00 -5.505203390654734852e-01 -2.815160824766625366e-02
1.578764238817887522e+00 1.599962968776407646e+00 -5.480691294199948604e-01 -2.802626229988609829e-02
1.587023829638583017e+00 1.609744249245485870e+00 -5.456137087975180266e-01 -2.790070101805489783e-02
1.595371212313113407e+00 1.619630890557688829e+00 -5.431540778801821068e-01 -2.777492443705476682e-02
1.603807771725661357e+00 1.629624553859792657e+00 -5.406902374273498957e-01 -2.764893259571675130e-02
1.612334921970847157e+00 1.639726935314181677e+00 -5.382221882758456699e-01 -2.752272553683301343e-02
1.620954107128436794e+00 1.649939767027510884e+00 -5.357499313402186436e-01 -2.739630330717026524e-02
1.629666802062832209e+00 1.660264818009051124e+00 -5.332734676129518014e-01 -2.726966595748049269e-02
1.638474513248320497e+00 1.670703895159920682e+00 -5.307927981647257987e-01 -2.714281354251438932e-02
