# u, d0, d1
1.246378690064992023e+00 1.326633474190174855e+00 1.353569507387179849e+00
1.198214122290198524e+00 2.194030938733316505e-01 1.974627844581635427e+00
1.179081466160886604e+00 -5.613654064138966504e-01 4.407311239729816421e+00
1.140572861667349835e+00 -6.880326249353304613e-01 7.367308311307086299e+00
1.186046220581244981e+00 -4.771107245998658097e-01 1.332099520572020745e+00
