# sigma, d0, d1
9.497251619079787321e-01 -1.345563940783434997e+00 5.808163477620544857e-01
9.474683002245696262e-01 -1.347404552558630009e+00 5.816297848253405567e-01
9.452251745358932755e-01 -1.349238351359757893e+00 5.824402387633574874e-01
9.429956537381821713e-01 -1.351065379728944693e+00 5.832477279834300532e-01
9.407796084099931955e-01 -1.352885679859336054e+00 5.840522707442936667e-01
9.385769107852907078e-01 -1.354699293598362830e+00 5.848538851574951458e-01
9.363874347271002874e-01 -1.356506262451041334e+00 5.856525891887067736e-01
9.342110557015891326e-01 -1.358306627583168558e+00 5.864484006590996445e-01
9.320476507527007959e-01 -1.360100429824546486e+00 5.872413372466590564e-01
9.298970984772250148e-01 -1.361887709672135349e+00 5.880314164875123373e-01
9.277592790003681422e-01 -1.363668507293209542e+00 5.888186557772222551e-01
9.256340739517733285e-01 -1.365442862528472245e+00 5.896030723720833144e-01
9.235213664419517077e-01 -1.367210814895104765e+00 5.903846833904161651e-01
9.214210410392137396e-01 -1.368972403589848508e+00 5.911635058138271503e-01
9.193329837469937926e-01 -1.370727667492016355e+00 5.919395564884699645e-01
9.172570819815931698e-01 -1.372476645166481601e+00 5.927128521262905458e-01
9.151932245503527907e-01 -1.374219374866647359e+00 5.934834093062656413e-01
9.131413016301971330e-01 -1.375955894537364665e+00 5.942512444756361534e-01
9.111012047466263697e-01 -1.377686241817871027e+00 5.950163739510926364e-01
9.090728267530222562e-01 -1.379410454044629475e+00 5.957788139200148603e-01
9.070560618104036577e-01 -1.381128568254215372e+00 5.965385804416234450e-01
9.050508053674778397e-01 -1.382840621186097518e+00 5.972956894481959988e-01
9.030569541411261891e-01 -1.384546649285469222e+00 5.980501567462090939e-01
9.010744060971972447e-01 -1.386246688705999874e+00 5.988019980174965617e-01
8.991030604316475605e-01 -1.387940775312566766e+00 5.995512288204164486e-01
8.971428175520449466e-01 -1.389628944683979128e+00 6.002978645909606836e-01
8.951935790593883446e-01 -1.391311232115659990e+00 6.010419206439008288e-01
8.932552477302504457e-01 -1.392987672622300499e+00 6.017834121738880881e-01
8.913277274992489341e-01 -1.394658300940497142e+00 6.025223542565650847e-01
8.894109234418315912e-01 -1.396323151531366769e+00 6.032587618496442206e-01
8.875047417573374009e-01 -1.397982258583102988e+00 6.039926497940176775e-01
8.856090897524047101e-01 -1.399635656013555884e+00 6.047240328147993615e-01
8.837238758246358517e-01 -1.401283377472752445e+00 6.054529255224010420e-01
8.818490094465561979e-01 -1.402925456345393451e+00 6.061793424135916153e-01
8.799844011498727525e-01 -1.404561925753349261e+00 6.069032978725152905e-01
8.781299625099744377e-01 -1.406192818558095858e+00 6.076248061717485216e-01
8.762856061307393585e-01 -1.407818167363159123e+00 6.083438814733014288e-01
8.744512456295824299e-01 -1.409438004516515353e+00 6.090605378296408690e-01
8.726267956227665712e-01 -1.411052362112969583e+00 6.097747891846904134e-01
8.708121717109738036e-01 -1.412661271996519030e+00 6.104866493748140055e-01
8.690072904651205965e-01 -1.414264765762683673e+00 6.111961321298100547e-01
8.672120694124213491e-01 -1.415862874760817958e+00 6.119032510738758868e-01
8.654264270226819100e-01 -1.417455630096397856e+00 6.126080197265749705e-01
8.636502826948373457e-01 -1.419043062633284169e+00 6.133104515037891558e-01
8.618835567437175271e-01 -1.420625202995968284e+00 6.140105597186613640e-01
8.601261703870316522e-01 -1.422202081571785515e+00 6.147083575825340596e-01
8.583780457325751456e-01 -1.423773728513111791e+00 6.154038582058798390e-01
8.566391057656657093e-01 -1.425340173739545246e+00 6.160970745992051523e-01
8.549092743367725511e-01 -1.426901446940051388e+00 6.167880196739680132e-01
8.531884761493668812e-01 -1.428457577575099613e+00 6.174767062434771692e-01
8.514766367479633669e-01 -1.430008594878763084e+00 6.181631470237831660e-01
8.497736825063805233e-01 -1.431554527860815718e+00 6.188473546345552023e-01
8.480795406161814043e-01 -1.433095405308797199e+00 6.195293415999539866e-01
8.463941390753149108e-01 -1.434631255790059345e+00 6.202091203495008198e-01
8.447174066769332912e-01 -1.436162107653782938e+00 6.208867032189346880e-01
8.430492729984168099e-01 -1.437687989032995661e+00 6.215621024510538106e-01
8.413896683905573992e-01 -1.439208927846547192e+00 6.222353301965554140e-01
8.397385239669348245e-01 -1.440724951801077403e+00 6.229063985148723948e-01
8.380957715934567176e-01 -1.442236088392957472e+00 6.235753193749893342e-01
8.364613438780862387e-01 -1.443742364910222342e+00 6.242421046562597331e-01
8.348351741607094034e-01 -1.445243808434463650e+00 6.249067661492178072e-01
8.332171965032048044e-01 -1.446740445842728873e+00 6.255693155563616381e-01
8.316073456796372332e-01 -1.448232303809377619e+00 6.262297644929649687e-01
8.300055571666394849e-01 -1.449719408807935928e+00 6.268881244878455883e-01
8.284117671339316091e-01 -1.451201787112922581e+00 6.275444069841401573e-01
8.268259124350026967e-01 -1.452679464801662101e+00 6.281986233400819186e-01
8.252479305979366631e-01 -1.454152467756075540e+00 6.288507848297473224e-01
8.236777598163875780e-01 -1.455620821664452835e+00 6.295009026438223021e-01
8.221153389407033218e-01 -1.457084552023215407e+00 6.301489878903343556e-01
8.205606074691782492e-01 -1.458543684138645435e+00 6.307950515954007242e-01
8.190135055394623942e-01 -1.459998243128613815e+00 6.314391047039504823e-01
