# sigma, u, d0, d1
1.178337469055306785e+00 6.970155944290928884e-01 -2.370183403376607267e-01 -1.939240966399042310e-01
1.187129510346657257e+00 7.030827900182025081e-01 -2.354395103636157394e-01 -1.926323266611401352e-01
1.196053949237153802e+00 7.092433230284282963e-01 -2.338582495327554689e-01 -1.913385677995271816e-01
1.205113776561241856e+00 7.154993080845473141e-01 -2.322745564238262728e-01 -1.900428188922214656e-01
1.214312073790957403e+00 7.218529239061758362e-01 -2.306884296507767662e-01 -1.887450788051809603e-01
1.223652016495251571e+00 7.283064157539265171e-01 -2.290998678630895846e-01 -1.874453464334369102e-01
1.233136877958975752e+00 7.348620979884622484e-01 -2.275088697461137288e-01 -1.861436207013657529e-01
1.242770032970187621e+00 7.415223567485716982e-01 -2.259154340213994916e-01 -1.848399005629632053e-01
1.252554961784988707e+00 7.482896527547775456e-01 -2.243195594470321907e-01 -1.835341850021172394e-01
1.262495254279672352e+00 7.551665242453947657e-01 -2.227212448179675397e-01 -1.822264730328825300e-01
1.272594614300591509e+00 7.621555900523969695e-01 -2.211204889663679340e-01 -1.809167636997555673e-01
1.282856864222820636e+00 7.692595528249237535e-01 -2.195172907619384883e-01 -1.796050560779496597e-01
1.293285949729394257e+00 7.764812024087563991e-01 -2.179116491122646271e-01 -1.782913492736710459e-01
1.303885944823676812e+00 7.838234193906477021e-01 -2.163035629631500090e-01 -1.769756424243954518e-01
1.314661057088242213e+00 7.912891788169552632e-01 -2.146930312989544232e-01 -1.756579346991445079e-01
1.325615633204521249e+00 7.988815540966685003e-01 -2.130800531429332956e-01 -1.743382252987635828e-01
1.336754164748429785e+00 8.066037210995831153e-01 -2.114646275575773893e-01 -1.730165134561996720e-01
1.348081294278211217e+00 8.144589624611026091e-01 -2.098467536449515336e-01 -1.716927984367785098e-01
1.359601821731828419e+00 8.224506721059230419e-01 -2.082264305470361565e-01 -1.703670795384840952e-01
1.371320711152426375e+00 8.305823600037008925e-01 -2.066036574460678454e-01 -1.690393560922373306e-01
1.383243097761658102e+00 8.388576571706961582e-01 -2.049784335648801581e-01 -1.677096274621746874e-01
1.395374295402056264e+00 8.472803209323696016e-01 -2.033507581672453490e-01 -1.663778930459280103e-01
1.407719804371102112e+00 8.558542404629551070e-01 -2.017206305582162629e-01 -1.650441522749041823e-01
1.420285319671263258e+00 8.645834426191618682e-01 -2.000880500844683940e-01 -1.637084046145650396e-01
1.433076739701995450e+00 8.734720980863959205e-01 -1.984530161346420851e-01 -1.623706495647071757e-01
1.446100175421577427e+00 8.825245278572037000e-01 -1.968155281396849476e-01 -1.610308866597422173e-01
1.459361960008685122e+00 8.917452100630813838e-01 -1.951755855731948097e-01 -1.596891154689775716e-01
1.472868659055789120e+00 9.011387871823438589e-01 -1.935331879517622478e-01 -1.583453355968963971e-01
1.486627081328849798e+00 9.107100736484263770e-01 -1.918883348353137008e-01 -1.569995466834384623e-01
1.500644290130360270e+00 9.204640638848149425e-01 -1.902410258274542798e-01 -1.556517484042807820e-01
1.514927615305577957e+00 9.304059407947812277e-01 -1.885912605758103266e-01 -1.543019404711175324e-01
1.529484665934820686e+00 9.405410847362394300e-01 -1.869390387723728619e-01 -1.529501226319414375e-01
1.544323343758012834e+00 9.508750830143809507e-01 -1.852843601538398666e-01 -1.515962946713235171e-01
1.559451857381236817e+00 9.614137399272704165e-01 -1.836272245019593685e-01 -1.502404564106940288e-01
1.574878737318968769e+00 9.721630874023595714e-01 -1.819676316438713914e-01 -1.488826077086220501e-01
1.590612851929900540e+00 9.831293962648630647e-01 -1.803055814524509859e-01 -1.475227484610962814e-01
1.606663424308916399e+00 9.943191881822367462e-01 -1.786410738466495673e-01 -1.461608786018042117e-01
1.623040050202820828e+00 1.005739248332557345e+00 -1.769741087918368094e-01 -1.447969981024119224e-01
1.639752717022944006e+00 1.017396638848512724e+00 -1.753046863001424815e-01 -1.434311069728438637e-01
1.656811824033783909e+00 1.029298713092973605e+00 -1.736328064307969821e-01 -1.420632052615611596e-01
1.674228203803434400e+00 1.041453130826785811e+00 -1.719584692904721768e-01 -1.406932930558408568e-01
1.692013145008776309e+00 1.053867874334521115e+00 -1.702816750336211826e-01 -1.393213704820536747e-01
1.710178416696315651e+00 1.066551265579528396e+00 -1.686024238628183736e-01 -1.379474377059423107e-01
1.728736294108235150e+00 1.079511984465757246e+00 -1.669207160290983594e-01 -1.365714949328986627e-01
1.747699586192750010e+00 1.092759088290562897e+00 -1.652365518322938265e-01 -1.351935424082404136e-01
1.767081664928328744e+00 1.106302032480111386e+00 -1.635499316213739618e-01 -1.338135804174877819e-01
1.786896496602868645e+00 1.120150692707138074e+00 -1.618608557947811277e-01 -1.324316092866391070e-01
1.807158675201559594e+00 1.134315388499787636e+00 -1.601693248007672044e-01 -1.310476293824459071e-01
1.827883458071209999e+00 1.148806908460139775e+00 -1.584753391377289045e-01 -1.296616411126872703e-01
1.849086804044166588e+00 1.163636537221942602e+00 -1.567788993545425058e-01 -1.282736449264438583e-01
1.870785414222040366e+00 1.178816084289106891e+00 -1.550800060508975287e-01 -1.268836413143706876e-01
1.892996775638286611e+00 1.194357914909859542e+00 -1.533786598776293308e-01 -1.254916308089694399e-01
1.915739208039534791e+00 1.210274983156184758e+00 -1.516748615370507869e-01 -1.240976139848597309e-01
1.939031914048692684e+00 1.226580867394543084e+00 -1.499686117832828569e-01 -1.227015914590496026e-01
1.962895032998535516e+00 1.243289808352010528e+00 -1.482599114225844339e-01 -1.213035638912054598e-01
1.987349698752941096e+00 1.260416750002116615e+00 -1.465487613136799427e-01 -1.199035319839199670e-01
2.012418101864737796e+00 1.277977383517121757e+00 -1.448351623680873002e-01 -1.185014964829805145e-01
2.038123556454386254e+00 1.295988194558433060e+00 -1.431191155504432932e-01 -1.170974581776354217e-01
2.064490572233172117e+00 1.314466514204741365e+00 -1.414006218788276814e-01 -1.156914179008590032e-01
2.091544932138600377e+00 1.333430573848575884e+00 -1.396796824250871039e-01 -1.142833765296167176e-01
2.119313776098887825e+00 1.352899564426793821e+00 -1.379562983151556288e-01 -1.128733349851273327e-01
2.147825691498616685e+00 1.372893700389501870e+00 -1.362304707293759687e-01 -1.114612942331257850e-01
2.177110810979439037e+00 1.393434288855640801e+00 -1.345022009028175314e-01 -1.100472552841234297e-01
2.207200918279187185e+00 1.414543804452588205e+00 -1.327714901255933611e-01 -1.086312191936672916e-01
2.238129562890916802e+00 1.436245970392385551e+00 -1.310383397431751362e-01 -1.072131870625978173e-01
2.269932184411425968e+00 1.458565846399471289e+00 -1.293027511567077514e-01 -1.057931600373063358e-01
2.302646247548234104e+00 1.481529924175074120e+00 -1.275647258233199854e-01 -1.043711393099890639e-01
2.336311388866281202e+00 1.505166231162851975e+00 -1.258242652564355857e-01 -1.029471261189018327e-01
2.370969576482861552e+00 1.529504443470315556e+00 -1.240813710260809527e-01 -1.015211217486116785e-01
2.406665284063603139e+00 1.554576008902619488e+00 -1.223360447591919919e-01 -1.000931275302479884e-01
2.443445680636231021e+00 1.580414281181240055e+00 -1.205882881399191198e-01 -9.866314484175199573e-02
2.481360837925605356e+00 1.607054666552069522e+00 -1.188381029099310204e-01 -9.723117510812537279e-02
2.520463957126391819e+00 1.634534784138044872e+00 -1.170854908687176399e-01 -9.579721980167806017e-02
2.560811617273079044e+00 1.662894641563452458e+00 -1.153304538738931934e-01 -9.436128044227624911e-02
2.602464047645748568e+00 1.692176827574214837e+00 -1.135729938415017126e-01 -9.292335859759230654e-02
2.645485426969767406e+00 1.722426723604458143e+00 -1.118131127463237728e-01 -9.148345588335581036e-02
2.689944212535542167e+00 1.753692736499612215e+00 -1.100508126221729777e-01 -9.004157396359604992e-02
2.735913502789327989e+00 1.786026554905141506e+00 -1.082860955621065824e-01 -8.859771455081447145e-02
2.783471437438218121e+00 1.819483432174128890e+00 -1.065189637183361904e-01 -8.715187940591143101e-02
2.832701639674085836e+00 1.854122499053024509e+00 -1.047494193020138131e-01 -8.570407033801130670e-02
2.883693705750982161e+00 1.890007109893839354e+00 -1.029774645847181536e-01 -8.425428920567848423e-02
2.936543747962470974e+00 1.927205226639582492e+00 -1.012031019002927329e-01 -8.280253791842133448e-02
2.991354998006003463e+00 1.965789845426338722e+00 -9.942633364340848490e-02 -8.134881843551602931e-02
3.048238478642805394e+00 2.005839471491009718e+00 -9.764716226882901029e-02 -7.989313276540555009e-02
3.107313752829727882e+00 2.047438648899101210e+00 -9.586559029217574246e-02 -7.843548296632560368e-02
3.168709760986732515e+00 2.090678552590684802e+00 -9.408162029052075104e-02 -7.697587114678970666e-02
3.232565758741151374e+00 2.135657651467671059e+00 -9.229525490271744959e-02 -7.551429946585971886e-02
3.299032369499285799e+00 2.182482452674308515e+00 -9.050649682965573872e-02 -7.405077013335470415e-02
3.368272768589553046e+00 2.231268338912586024e+00 -8.871534883450543640e-02 -7.258528541004991008e-02
3.440464018573003546e+00 2.282140512649135644e+00 -8.692181374295980534e-02 -7.111784760787619175e-02
3.515798578724468104e+00 2.335235063479444761e+00 -8.512589444347976042e-02 -6.964845909011979641e-02
3.594486015778107557e+00 2.390700177807519200e+00 -8.332759388753437080e-02 -6.817712227161902561e-02
3.676754947956264452e+00 2.448697513481780774e+00 -8.152691508984095947e-02 -6.670383961896078628e-02
3.762855260258457513e+00 2.509403766240837719e+00 -7.972386112859958240e-02 -6.522861365067238182e-02
3.853060636220171364e+00 2.573012459937188634e+00 -7.791843514572496798e-02 -6.375144693741133239e-02
3.947671460172700098e+00 2.639735998744648704e+00 -7.611064034707462622e-02 -6.227234210215196186e-02
4.047018154843135207e+00 2.709808027197813107e+00 -7.430048000266857577e-02 -6.079130182036519836e-02
4.151465032430217583e+00 2.783486153313594169e+00 -7.248795744690846032e-02 -5.930832882019783370e-02
4.261414753746042727e+00 2.861055101680265444e+00 -7.067307607878733910e-02 -5.782342588264418465e-02
4.377313510461755541e+00 2.942830377858070889e+00 -6.885583936209374589e-02 -5.633659584171306356e-02
4.499657071061801794e+00 3.029162543514004380e+00 -6.703625082560835113e-02 -5.484784158458864967e-02
4.628997863247411360e+00 3.120442224436426049e+00 -6.521431406329308844e-02 -5.335716605178525418e-02
4.765953306176699655e+00 3.217106002317725810e+00 -6.339003273447742226e-02 -5.186457223729970534e-02
4.911215644828843097e+00 3.319643373240714901e+00 -6.156341070546852284e-02 -5.037006330447424407e-02
5.065563691471450802e+00 3.428605032812022113e+00 -5.973445150973619860e-02 -4.887364214432961262e-02
5.229876713246953024e+00 3.544612721559794455e+00 -5.790315913890891480e-02 -4.737531202274365694e-02
5.405151218989272088e+00 3.668371080077580171e+00 -5.606953757754029599e-02 -4.587507619980570051e-02
5.592521198147419881e+00 3.800681953687327752e+00 -5.423359060593883896e-02 -4.437293776849541432e-02
5.793282590842602886e+00 3.942461717155260281e+00 -5.239532247371289642e-02 -4.286890020576510085e-02
6.008923358784705293e+00 4.094762516992442869e+00 -5.055473724882892511e-02 -4.136296683995093620e-02
6.241160373678447115e+00 4.258798365323500867e+00 -4.871183912177098896e-02 -3.985514109963080726e-02
6.491985206568852362e+00 4.435977516058477121e+00 -4.686663235049344511e-02 -3.834542646858554032e-02
6.763721356738238377e+00 4.627942931861717568e+00 -4.501912126131438208e-02 -3.683382648652994834e-02
7.059096410659644327e+00 4.836623308103373375e+00 -4.316931024535040906e-02 -3.532034474619578923e-02
7.381333879029727818e+00 5.064298011640270936e+00 -4.131720376401216976e-02 -3.380498489782814142e-02
7.734271274588245149e+00 5.313680574328804695e+00 -3.946280634581333935e-02 -3.228775064657455479e-02
8.122513611978897430e+00 5.588027233980686681e+00 -3.760612258963900306e-02 -3.076864575515918937e-02
8.551635384020356057e+00 5.891279752656997992e+00 -3.574715715541374600e-02 -2.924767403624761036e-02
9.028449860268530358e+00 6.228255839597973242e+00 -3.388591476879822262e-02 -2.772483935628945392e-02
9.561373459700430288e+00 6.604906794363521350e+00 -3.202240012519216167e-02 -2.620014555697540090e-02
1.016092658006549421e+01 7.028671686146639175e+00 -3.015661841933978474e-02 -2.467359688855073202e-02
1.084043525255333584e+01 7.508973419987392539e+00 -2.828857428632934254e-02 -2.314519714336036801e-02
1.161703281965583123e+01 8.057927106342347656e+00 -2.641827281741206471e-02 -2.161495048697350402e-02
1.251312444752067421e+01 8.691375590870217493e+00 -2.454571909169577307e-02 -2.008286107502381054e-02
1.355858369332469948e+01 9.430442669178201953e+00 -2.267091825277805020e-02 -1.854893311590931348e-02
1.479414722878606447e+01 1.030393351186427786e+01 -2.079387549684768438e-02 -1.701317086105719883e-02
1.627684638266247319e+01 1.135217537281645050e+01 -1.891459614139632400e-02 -1.547557866114244660e-02
1.808905975735403260e+01 1.263341870666963374e+01 -1.703308550538869953e-02 -1.393616086804530009e-02
2.035435523680299852e+01 1.423503922345133788e+01 -1.514934904183139197e-02 -1.239492194331659296e-02
2.326691094747426902e+01 1.629434157206556577e+01 -1.326339220690095008e-02 -1.085186635110077687e-02
2.715035708100550593e+01 1.904016686374254164e+01 -1.137522057151090643e-02 -9.306998649418012776e-03
3.258722798186457936e+01 2.288442908502357298e+01 -9.484839765903255865e-03 -7.760323444829935434e-03
4.074259236578177479e+01 2.865095622606200720e+01 -7.592255483197189736e-03 -6.211845395343155475e-03
5.343277633514400549e+01 3.763281163197539314e+01 -5.793222541100046495e-03 -4.740171790811406431e-03
6.766330058144440329e+01 4.777227520877277556e+01 -4.575380468504824764e-03 -3.745112892804129765e-03
8.664722173230654789e+01 6.134392400825007030e+01 -3.571710907163011452e-03 -2.924853037509707841e-03
1.108000585541138463e+02 7.854186279737903931e+01 -2.777583051276543476e-03 -2.274202043100215145e-03
