# sigma, u, d0, d1
1.076224243113234724e+00 4.688096864051966017e-01 -1.476894962972066017e+00 1.148696082311606803e+00
1.080228176745442248e+00 4.713807263815644744e-01 -1.474067442103616621e+00 1.146496899413924186e+00
1.084270621114010069e+00 4.739793359589600241e-01 -1.471223047221830171e+00 1.144284592283645763e+00
1.088352163862802202e+00 4.766059536999920354e-01 -1.468361599674697482e+00 1.142059021969209054e+00
1.092473404852600805e+00 4.792610274134931347e-01 -1.465482918186668870e+00 1.139820047478520060e+00
1.096634956479054956e+00 4.819450143923547647e-01 -1.462586818805104993e+00 1.137567525737303908e+00
1.100837444003370358e+00 4.846583816636347297e-01 -1.459673114851100628e+00 1.135301311550856118e+00
1.105081505893529048e+00 4.874016062465671428e-01 -1.456741616869266620e+00 1.133021257564985174e+00
1.109367794176421951e+00 4.901751754187595456e-01 -1.453792132576441798e+00 1.130727214226121324e+00
1.113696974801311468e+00 4.929795869908872308e-01 -1.450824466809312430e+00 1.128419029740576285e+00
1.118069728015042008e+00 4.958153495901952423e-01 -1.447838421470917014e+00 1.126096550032935406e+00
1.122486748749451202e+00 4.986829829531408409e-01 -1.444833795476003768e+00 1.123759618703558560e+00
1.126948747021438990e+00 5.015830182275206051e-01 -1.441810384695219716e+00 1.121408076985171087e+00
1.131456448346184196e+00 5.045159982844360513e-01 -1.438767981898106951e+00 1.119041763698527481e+00
1.136010594164008847e+00 5.074824780404788571e-01 -1.435706376694870112e+00 1.116660515207120952e+00
1.140611942281424485e+00 5.104830247905177698e-01 -1.432625355476900175e+00 1.114264165370922433e+00
1.145261267326904253e+00 5.135182185515030362e-01 -1.429524701356012173e+00 1.111852545499120604e+00
1.149959361221961629e+00 5.165886524177055739e-01 -1.426404194102378176e+00 1.109425484301849618e+00
1.154707033668135541e+00 5.196949329278404139e-01 -1.423263610081121566e+00 1.106982807840872551e+00
1.159505112650509817e+00 5.228376804445353798e-01 -1.420102722187543964e+00 1.104524339479201034e+00
1.164354444958423995e+00 5.260175295466315015e-01 -1.416921299780952603e+00 1.102049899829629753e+00
1.169255896724063604e+00 5.292351294348162094e-01 -1.413719108617058628e+00 1.099559306702156736e+00
1.174210353979645127e+00 5.324911443511276543e-01 -1.410495910778912565e+00 1.097052375050265205e+00
1.179218723233950161e+00 5.357862540128722761e-01 -1.407251464606344538e+00 1.094528916916045702e+00
